profile,D_over_C,alpha_integrated,zeta_omega_Lw_over_C,P_C_reflect,P_D_reflect_left,P_C_transmit,P_D_transmit_forward,P_D_total,two_wall_forward_echo,delta_wall_forward_P,forward_over_delta,born_forward_over_delta,born_backward_over_delta,flux_sum,flux_error
square,2.000000000e+00,1.000000000e-02,1.000000000e-03,9.997998495e-09,9.997998426e-05,9.998000300e-01,9.998000092e-05,1.999599852e-04,9.996000584e-09,9.998000300e-05,9.999999792e-01,9.999999792e-01,9.999998125e-01,1.000000000e+00,1.110223025e-16
square,2.000000000e+00,1.000000000e-02,1.000000000e-02,9.997819815e-09,9.997812863e-05,9.998000321e-01,9.997979512e-05,1.999579237e-04,9.995959431e-09,9.998000300e-05,9.999979208e-01,9.999979167e-01,9.999812501e-01,1.000000000e+00,0.000000000e+00
square,2.000000000e+00,1.000000000e-02,1.000000000e-01,9.979966311e-09,9.979270513e-05,9.998002381e-01,9.995921635e-05,1.997519215e-04,9.991844932e-09,9.998000300e-05,9.997920919e-01,9.997916840e-01,9.981264057e-01,1.000000000e+00,3.330669074e-16
square,2.000000000e+00,1.000000000e-02,3.000000000e-01,9.836744814e-09,9.830440043e-05,9.998018927e-01,9.979304504e-05,1.980974455e-04,9.958651839e-09,9.998000300e-05,9.981300465e-01,9.981264057e-01,9.832384953e-01,1.000000000e+00,8.881784197e-16
square,2.000000000e+00,1.000000000e-02,1.000000000e+00,8.332985432e-09,8.258651274e-05,9.998194871e-01,9.791805166e-05,1.805045644e-04,9.587944841e-09,9.998000300e-05,9.793763625e-01,9.793395049e-01,8.260113763e-01,1.000000000e+00,6.661338148e-16
square,2.000000000e+00,1.000000000e-02,3.000000000e+00,1.741968198e-09,1.195795037e-05,9.999054409e-01,8.259937767e-05,9.455732804e-05,6.822657191e-09,9.998000300e-05,8.261589837e-01,8.260113763e-01,1.195847703e-01,1.000000000e+00,4.440892099e-16
square,2.000000000e+00,1.000000000e-02,1.000000000e+01,1.231845716e-11,1.564149076e-06,9.999927055e-01,5.730301095e-06,7.294450171e-06,3.283635064e-11,9.998000300e-05,5.731447212e-02,5.730702516e-02,1.564167034e-02,1.000000000e+00,2.220446049e-16
square,2.000000000e+00,1.000000000e-02,3.000000000e+01,1.882881259e-13,4.688123184e-08,9.999983889e-01,1.564172380e-06,1.611053612e-06,2.446635236e-12,9.998000300e-05,1.564485231e-02,1.564167034e-02,4.688177888e-04,1.000000000e+00,1.998401444e-15
square,2.000000000e+00,1.000000000e-01,1.000000000e-03,9.802958756e-05,9.802958679e-03,9.802960514e-01,9.802960329e-03,1.960591901e-02,9.609803122e-05,9.802960494e-03,9.999999832e-01,9.999999792e-01,9.999998125e-01,1.000000000e+00,2.220446049e-16
square,2.000000000e+00,1.000000000e-01,1.000000000e-02,9.802786682e-05,9.802779003e-03,9.802962491e-01,9.802944018e-03,1.960572302e-02,9.609771142e-05,9.802960494e-03,9.999983193e-01,9.999979167e-01,9.999812501e-01,1.000000000e+00,3.330669074e-16
square,2.000000000e+00,1.000000000e-01,1.000000000e-01,9.785592671e-05,9.784824467e-03,9.803160069e-01,9.801312666e-03,1.958613713e-02,9.606572997e-05,9.802960494e-03,9.998319050e-01,9.997916840e-01,9.981264057e-01,1.000000000e+00,4.440892099e-16
square,2.000000000e+00,1.000000000e-01,3.000000000e-01,9.647620912e-05,9.640685610e-03,9.804747240e-01,9.788114204e-03,1.942879981e-02,9.580717967e-05,9.802960494e-03,9.984855300e-01,9.981264057e-01,9.832384953e-01,1.000000000e+00,1.110223025e-16
square,2.000000000e+00,1.000000000e-01,1.000000000e+00,8.194583192e-05,8.115540975e-03,9.821663566e-01,9.636156586e-03,1.775169756e-02,9.285551375e-05,9.802960494e-03,9.829843333e-01,9.793395049e-01,8.260113763e-01,1.000000000e+00,1.110223025e-16
square,2.000000000e+00,1.000000000e-01,3.000000000e+00,1.729295191e-05,1.190611081e-03,9.905499470e-01,8.242148984e-03,9.432760065e-03,6.793301988e-05,9.802960494e-03,8.407816179e-01,8.260113763e-01,1.195847703e-01,1.000000000e+00,1.110223025e-16
square,2.000000000e+00,1.000000000e-01,1.000000000e+01,1.224938317e-07,1.562385050e-04,9.992745739e-01,5.690650919e-04,7.253035969e-04,3.238350789e-07,9.802960494e-03,5.805033003e-02,5.730702516e-02,1.564167034e-02,1.000000000e+00,9.992007222e-16
square,2.000000000e+00,1.000000000e-01,3.000000000e+01,1.883177991e-09,4.682709627e-06,9.998388453e-01,1.564701041e-04,1.611528137e-04,2.448289346e-08,9.802960494e-03,1.596151531e-02,1.564167034e-02,4.688177888e-04,1.000000000e+00,1.665334537e-15
square,2.000000000e+00,1.000000000e+00,1.000000000e-03,2.499999806e-01,2.499999566e-01,2.500000229e-01,2.500000399e-01,4.999999965e-01,6.250001997e-02,2.500000000e-01,1.000000160e+00,9.999999792e-01,9.999998125e-01,1.000000000e+00,4.440892099e-16
square,2.000000000e+00,1.000000000e+00,1.000000000e-02,2.499980555e-01,2.499956598e-01,2.500022917e-01,2.500039931e-01,4.999996528e-01,6.250199654e-02,2.500000000e-01,1.000015972e+00,9.999979167e-01,9.999812501e-01,1.000000000e+00,2.220446049e-16
square,2.000000000e+00,1.000000000e+00,1.000000000e-01,2.498053572e-01,2.495663203e-01,2.502290504e-01,2.503992721e-01,4.999655924e-01,6.269979545e-02,2.500000000e-01,1.001597088e+00,9.997916840e-01,9.981264057e-01,1.000000000e+00,2.220446049e-16
square,2.000000000e+00,1.000000000e+00,3.000000000e-01,2.482340650e-01,2.461220562e-01,2.520530131e-01,2.535908656e-01,4.997129218e-01,6.430832713e-02,2.500000000e-01,1.014363463e+00,9.981264057e-01,9.832384953e-01,1.000000000e+00,4.440892099e-16
square,2.000000000e+00,1.000000000e+00,1.000000000e+00,2.287825482e-01,2.102165283e-01,2.716598160e-01,2.893411075e-01,4.995576358e-01,8.371827651e-02,2.500000000e-01,1.157364430e+00,9.793395049e-01,8.260113763e-01,1.000000000e+00,2.220446049e-16
square,2.000000000e+00,1.000000000e+00,3.000000000e+00,5.691106206e-02,9.536198308e-02,3.657242728e-01,4.820026821e-01,5.773646652e-01,2.323265855e-01,2.500000000e-01,1.928010728e+00,8.260113763e-01,1.195847703e-01,1.000000000e+00,4.440892099e-16
square,2.000000000e+00,1.000000000e+00,1.000000000e+01,6.964046343e-04,1.486594186e-02,9.588824281e-01,2.555522542e-02,4.042116728e-02,6.530695464e-04,2.500000000e-01,1.022209017e-01,5.730702516e-02,1.564167034e-02,1.000000000e+00,5.551115123e-16
square,2.000000000e+00,1.000000000e+00,3.000000000e+01,1.901367069e-05,4.164144167e-04,9.834564412e-01,1.610813075e-02,1.652454516e-02,2.594718762e-04,2.500000000e-01,6.443252299e-02,1.564167034e-02,4.688177888e-04,1.000000000e+00,4.440892099e-16
sech2,1.000000000e+00,1.000000000e-02,1.000000000e-03,9.997968412e-09,9.997962911e-05,9.998000304e-01,9.997995808e-05,1.999595872e-04,9.995992018e-09,9.998000300e-05,9.999995507e-01,1.000000000e+00,9.999967101e-01,1.000000000e+00,3.730349363e-14
sech2,1.000000000e+00,1.000000000e-02,1.000000000e-02,9.995702712e-09,9.994707468e-05,9.998000630e-01,9.997996530e-05,1.999270400e-04,9.995993460e-09,9.998000300e-05,9.999996229e-01,1.000000000e+00,9.996710781e-01,1.000000000e+00,4.740652315e-14
sech2,1.000000000e+00,1.000000000e-02,1.000000000e-01,9.772264099e-09,9.675487297e-05,9.998032547e-01,9.998067095e-05,1.967355439e-04,9.996134564e-09,9.998000300e-05,1.000006681e+00,1.000000000e+00,9.677406780e-01,1.000000000e+00,3.552713679e-15
sech2,1.000000000e+00,1.000000000e-02,3.000000000e-01,8.172775419e-09,7.497802489e-05,9.998250284e-01,9.998538535e-05,1.749634102e-04,9.997077283e-09,9.998000300e-05,1.000053834e+00,1.000000000e+00,7.499228056e-01,1.000000000e+00,2.775557562e-14
